ct,frequency,band,bandwidth,cell_id,rsrp,rssi,rsrq,bler,tx_power,plmn,tac,drx,emm_state,rrc_state,net_op_mode,emm_cause,esm_cause,time_boot_ms,lat,lon,alt,relative_alt
20220901T080644,2600,5,10,247(0xf7),-106,81,-15,0,0,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,211630,379869013,1287494565,6130,398
20220901T080648,2600,5,10,247(0xf7),-106,81,-15,0,16,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,215630,379869002,1287494563,6170,433
20220901T080653,0,0,0,,0,0,0,0,0,,0,0,,,,0,,220622,379868982,1287494559,6210,472
20220901T080657,0,0,0,,0,0,0,0,0,,0,0,,,,0,,224617,379868968,1287494563,6220,488
20220901T080813,2600,5,10,138(0x8a),-104,72,-13,0,0,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,300542,379868928,1287494561,6260,524
20220901T080817,2600,5,10,138(0x8a),-104,72,-13,0,23,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,304537,379868928,1287494560,6320,584
20220901T080822,2600,5,10,138(0x8a),-104,72,-13,0,23,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,309532,379868923,1287494551,6340,603
20220901T080826,0,0,0,,0,0,0,0,0,,0,0,,,,0,,313527,379868921,1287494544,6340,608
20220901T080830,0,0,0,,0,0,0,0,0,,0,0,,,,0,,317524,379868918,1287494538,6340,604
20220901T080835,0,0,0,,0,0,0,0,0,,0,0,,,,0,,322520,379868915,1287494533,6340,605
20220901T080839,2600,5,10,138(0x8a),-104,72,-13,0,23,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,326514,379868914,1287494533,6340,602
20220901T080843,0,0,0,,0,0,0,0,0,,0,0,,,,0,,330510,379868914,1287494529,6320,586
20220901T080848,2600,5,10,138(0x8a),-104,72,-13,0,23,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,335507,379868911,1287494524,6370,638
20220901T080852,2600,5,10,138(0x8a),-104,72,-13,0,23,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,339502,379868910,1287494519,6330,590
20220901T080856,2600,5,10,138(0x8a),-104,72,-13,0,23,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,343497,379868905,1287494514,6410,677
20220901T080901,0,0,0,,0,0,0,0,0,,0,0,,,,0,,348827,379868899,1287494503,6340,602
20220901T080907,0,0,0,,0,0,0,0,0,,0,0,,,,0,,354819,379868902,1287494497,6340,608
20220901T080912,2600,5,10,138(0x8a),-104,72,-14,0,0,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,359483,379868912,1287494495,6290,556
20220901T080918,2600,5,10,138(0x8a),-104,72,-14,0,0,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,365475,379868920,1287494492,6280,544
20220901T080922,2600,5,10,138(0x8a),-104,78,-9,0,13,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,369472,379868925,1287494494,6340,609
20220901T080927,2600,5,10,138(0x8a),-104,78,-9,0,13,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,375132,379868935,1287494496,6360,620
20220901T080931,0,0,0,,0,0,0,0,0,,0,0,,,,0,,379129,379868944,1287494494,6370,637
20220901T080935,0,0,0,,0,0,0,0,0,,0,0,,,,0,,383127,379868944,1287494494,6340,608
20220901T080940,0,0,0,,0,0,0,0,0,,0,0,,,,0,,387454,379868941,1287494497,6340,605
20220901T080944,0,0,0,,0,0,0,0,0,,0,0,,,,0,,391449,379868944,1287494497,6330,596
20220901T080948,0,0,0,,0,0,0,0,0,,0,0,,,,0,,395445,379868954,1287494492,6300,562
20220901T080948,0,0,0,,0,0,0,0,0,,0,0,,,,0,,395445,379868954,1287494492,6300,562
20220901T080955,0,0,0,,0,0,0,0,0,,0,0,,,,0,,402439,379868955,1287494486,6290,559
20220901T080959,2600,5,10,247(0xf7),-103,76,-9,0,12,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,406435,379868944,1287494488,6310,571
20220901T081003,2600,5,10,247(0xf7),-103,76,-9,0,12,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,410432,379868927,1287494491,6320,583
20220901T081007,2600,5,10,247(0xf7),-103,76,-9,0,12,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,414427,379868904,1287494494,6330,590
20220901T081012,2600,5,10,247(0xf7),-103,76,-9,0,12,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,419422,379868874,1287494493,6260,520
20220901T081018,0,0,0,,0,0,0,0,0,,0,0,,,,0,,425417,379868845,1287494489,6300,564
20220901T081022,0,0,0,,0,0,0,0,0,,0,0,,,,0,,429412,379868819,1287494482,6290,554
20220901T081029,0,0,0,,0,0,0,0,0,,0,0,,,,0,,436404,379868789,1287494485,6360,620
20220901T081033,0,0,0,,0,0,0,0,0,,0,0,,,,0,,440402,379868781,1287494492,6400,663
20220901T081040,0,0,0,,0,0,0,0,0,,0,0,,,,0,,447727,379868797,1287494502,6330,591
20220901T081040,0,0,0,,0,0,0,0,0,,0,0,,,,0,,447727,379868797,1287494502,6330,591
20220901T081044,0,0,0,,0,0,0,0,0,,0,0,,,,0,,451722,379868817,1287494510,6290,554
20220901T081050,0,0,0,,0,0,0,0,0,,0,0,,,,0,,457717,379868835,1287494526,6360,626
20220901T081055,0,0,0,,0,0,0,0,0,,0,0,,,,0,,462380,379868847,1287494537,6320,583
20220901T081101,0,0,0,,0,0,0,0,0,,0,0,,,,0,,468374,379868853,1287494546,6230,-70
20220901T081105,2600,5,10,138(0x8a),-103,76,-14,0,6,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,472369,379868862,1287494533,10760,4450
20220901T081110,2600,5,10,138(0x8a),-103,76,-14,0,6,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,478031,379868856,1287494548,24810,18507
20220901T081114,0,0,0,,0,0,0,0,0,,0,0,,,,0,,482026,379868854,1287494544,34800,28494
20220901T081120,0,0,0,,0,0,0,0,0,,0,0,,,,0,,488019,379868853,1287494549,49760,43453
20220901T081125,2600,5,10,138(0x8a),-84,59,-9,0,-8,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,492681,379868855,1287494555,61450,55144
20220901T081129,2600,5,10,138(0x8a),-84,59,-9,0,-11,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,496679,379868853,1287494541,66580,60279
20220901T081133,2600,5,10,138(0x8a),-84,59,-9,0,4,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,500674,379868860,1287494547,66340,60034
20220901T081138,2600,5,10,138(0x8a),-84,51,-9,0,8,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,506336,379868999,1287494854,68810,62501
20220901T081144,0,0,0,,0,0,0,0,0,,0,0,,,,0,,512329,379870048,1287496959,75440,69139
20220901T081148,0,0,0,,0,0,0,0,0,,0,0,,,,0,,516326,379870359,1287497582,76400,70094
20220901T081153,0,0,0,,0,0,0,0,0,,0,0,,,,0,,520654,379870369,1287497600,76350,70041
20220901T081157,0,0,0,,0,0,0,0,0,,0,0,,,,0,,524651,379870368,1287497595,76480,70172
20220901T081201,0,0,0,,0,0,0,0,0,,0,0,,,,0,,528646,379870363,1287497606,76280,69974
20220901T081206,2600,5,10,138(0x8a),-84,52,-15,0,-2,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,533641,379870365,1287497597,76400,70092
20220901T081210,0,0,0,,0,0,0,0,0,,0,0,,,,0,,537636,379870367,1287497599,76330,70027
20220901T081214,0,0,0,,0,0,0,0,0,,0,0,,,,0,,541634,379870364,1287497594,76360,70054
20220901T081221,0,0,0,,0,0,0,0,0,,0,0,,,,0,,548629,379870365,1287497606,76370,70060
20220901T081225,0,0,0,,0,0,0,0,0,,0,0,,,,0,,552621,379870366,1287497599,76370,70069
20220901T081229,0,0,0,,0,0,0,0,0,,0,0,,,,0,,556619,379870372,1287497599,76450,70143
20220901T081234,0,0,0,,0,0,0,0,0,,0,0,,,,0,,561614,379870369,1287497611,76280,69977
20220901T081238,2600,5,10,138(0x8a),-84,57,-11,0,-11,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,565608,379870377,1287497602,71470,65164
20220901T081244,0,0,0,,0,0,0,0,0,,0,0,,,,0,,571605,379870371,1287497605,66260,59951
20220901T081249,0,0,0,,0,0,0,0,0,,0,0,,,,0,,576931,379870375,1287497605,66460,60158
