ct,frequency,band,bandwidth,cell_id,rsrp,rssi,rsrq,bler,tx_power,plmn,tac,drx,emm_state,rrc_state,net_op_mode,emm_cause,esm_cause,time_boot_ms,lat,lon,alt,relative_alt,telecom
20220831T050024,2600,5,10,149(0x95),-108,80,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,147814,377451523,1273504198,255040,1328,LGU
20220831T050026,2600,5,10,149(0x95),-108,87,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,149812,377451517,1273504182,255120,1408,LGU
20220831T050028,2600,5,10,149(0x95),-108,87,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,151812,377451506,1273504179,255230,1511,LGU
20220831T050030,2600,5,10,149(0x95),-108,87,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,153142,377451502,1273504176,255270,1559,LGU
20220831T050032,2600,5,10,149(0x95),-108,87,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,155140,377451509,1273504181,255240,1526,LGU
20220831T050217,2600,5,10,149(0x95),-112,88,-11,0,22,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,168127,377451560,1273504132,255310,1592,LGU
20220831T050219,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,170127,377451558,1273504121,255330,1612,LGU
20220831T050221,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,172124,377451556,1273504106,255320,1601,LGU
20220831T050225,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,176119,377451540,1273504082,255370,1651,LGU
20220831T050229,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,180117,377451522,1273504062,255280,1561,LGU
20220831T050229,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,180117,377451522,1273504062,255280,1561,LGU
20220831T050230,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,180449,377451520,1273504061,255270,1551,LGU
20220831T050232,2600,5,10,149(0x95),-112,88,-11,0,22,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,182447,377451517,1273504063,255320,1609,LGU
20220831T050234,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,184445,377451501,1273504079,255240,1527,LGU
20220831T050236,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,186442,377451491,1273504081,255270,1553,LGU
20220831T050238,2600,5,10,149(0x95),-112,88,-11,0,0,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,188440,377451488,1273504077,255320,1603,LGU
20220831T050240,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,190440,377451483,1273504074,255390,1670,LGU
20220831T050243,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,193435,377451473,1273504059,255460,1743,LGU
20220831T050245,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,195435,377451466,1273504045,255470,1757,LGU
20220831T050247,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,197432,377451461,1273504026,255480,1761,LGU
20220831T050249,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,199429,377451417,1273503952,255440,1720,LGU
20220831T050251,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,201427,377451400,1273503936,255520,1805,LGU
20220831T050253,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,203427,377451404,1273503959,255530,1818,LGU
20220831T050255,2600,5,10,149(0x95),-112,88,-11,0,22,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,205424,377451405,1273503982,255490,1776,LGU
20220831T050258,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,208422,377451399,1273504006,255470,1756,LGU
20220831T050300,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,210752,377451392,1273504016,255470,1757,LGU
20220831T050302,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,212749,377451382,1273504023,255500,1788,LGU
20220831T050304,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,214747,377451377,1273504026,255570,1850,LGU
20220831T050306,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,216745,377451373,1273504032,255520,1801,LGU
20220831T050308,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,218745,377451371,1273504042,255480,1764,LGU
20220831T050310,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,220742,377451372,1273504054,255550,1831,LGU
20220831T050313,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,223739,377451381,1273504067,255520,1803,LGU
20220831T050315,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,225737,377451382,1273504070,255530,1812,LGU
20220831T050317,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,227735,377451384,1273504082,255500,1786,LGU
20220831T050319,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,229732,377451390,1273504093,255520,1808,LGU
20220831T050321,2600,5,10,149(0x95),-112,88,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,231732,377451399,1273504101,255530,1817,LGU
20220831T050323,2600,5,10,149(0x95),-112,82,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,233729,377451409,1273504109,255570,1858,LGU
20220831T050325,2600,5,10,149(0x95),-106,82,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,235727,377451419,1273504121,255590,1871,LGU
20220831T050327,2600,5,10,149(0x95),-106,82,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,237724,377451430,1273504133,255580,1860,LGU
20220831T050330,2600,5,10,149(0x95),-106,82,-11,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,241054,377451448,1273504149,255510,1796,LGU
