ct,frequency,band,bandwidth,cell_id,rsrp,rssi,rsrq,bler,tx_power,plmn,tac,drx,emm_state,rrc_state,net_op_mode,emm_cause,esm_cause,time_boot_ms,lat,lon,alt,relative_alt
20220901T085320,2600,5,10,138(0x8a),-103,73,-11,0,20,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,182346,379869726,1287493958,5890,1161
20220901T085327,2600,5,10,138(0x8a),-103,79,-11,0,21,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,190006,379869719,1287493956,5930,1206
20220901T085331,2600,5,10,138(0x8a),-103,79,-11,0,22,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,194000,379869712,1287493957,5930,1202
20220901T085338,0,0,0,,0,0,0,0,0,,0,0,,,,0,,200328,379869681,1287493952,6020,1299
20220901T085342,0,0,0,,0,0,0,0,0,,0,0,,,,0,,204323,379869664,1287493949,6010,1284
20220901T085348,0,0,0,,0,0,0,0,0,,0,0,,,,0,,210319,379869649,1287493940,5950,1221
20220901T085353,2600,5,10,138(0x8a),-103,73,-11,0,22,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,215979,379869649,1287493940,5890,44
20220901T085359,0,0,0,,0,0,0,0,0,,0,0,,,,0,,221307,379869653,1287493940,7310,1466
20220901T085403,2600,5,10,247(0xf7),-103,73,-11,0,7,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,225302,379869651,1287493941,17180,11338
20220901T085407,2600,5,10,138(0x8a),-85,53,-11,0,1,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,229299,379869649,1287493946,27160,21312
20220901T085412,0,0,0,,0,0,0,0,0,,0,0,,,,0,,234294,379869646,1287493944,39670,33827
20220901T085416,0,0,0,,0,0,0,0,0,,0,0,,,,0,,238290,379869652,1287493949,49670,43822
20220901T085420,2600,5,10,138(0x8a),-80,53,-11,0,0,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,242290,379869649,1287493949,59630,53783
20220901T085424,0,0,0,,0,0,0,0,0,,0,0,,,,0,,246614,379869649,1287493941,70500,64651
20220901T085428,0,0,0,,0,0,0,0,0,,0,0,,,,0,,250612,379869646,1287493952,80500,74658
20220901T085435,0,0,0,,0,0,0,0,0,,0,0,,,,0,,257272,379869647,1287493936,97130,91283
20220901T085439,2600,5,10,138(0x8a),-80,53,-11,0,0,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,261267,379869647,1287493947,107130,101281
20220901T085443,2600,5,10,138(0x8a),-80,53,-11,0,-11,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,265262,379869648,1287493946,117140,111290
20220901T085451,0,0,0,,0,0,0,0,0,,0,0,,,,0,,273922,379869647,1287493947,138770,132920
20220901T085455,2600,5,10,138(0x8a),-86,61,-11,0,-9,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,277252,379869645,1287493948,147090,141244
20220901T085502,0,0,0,,0,0,0,0,0,,0,0,,,,0,,284244,379869645,1287493946,164560,158719
20220901T085506,0,0,0,,0,0,0,0,0,,0,0,,,,0,,288239,379869644,1287493946,174530,168688
20220901T085510,0,0,0,,0,0,0,0,0,,0,0,,,,0,,292237,379869647,1287493944,184560,178716
20220901T085514,0,0,0,,0,0,0,0,0,,0,0,,,,0,,296232,379869644,1287493945,194530,188687
20220901T085519,0,0,0,,0,0,0,0,0,,0,0,,,,0,,301227,379869651,1287493948,204960,199118
20220901T085525,0,0,0,,0,0,0,0,0,,0,0,,,,0,,307222,379869647,1287493943,205940,200096
20220901T085531,2600,5,10,138(0x8a),-89,61,-16,0,0,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,313547,379869647,1287493941,198150,192300
20220901T085538,0,0,0,,0,0,0,0,0,,0,0,,,,0,,320542,379869645,1287493948,187530,181681
20220901T085542,0,0,0,,0,0,0,0,0,,0,0,,,,0,,324537,379869644,1287493948,181520,175671
20220901T085548,0,0,0,,0,0,0,0,0,,0,0,,,,0,,330532,379869645,1287493944,172540,166695
20220901T085553,0,0,0,,0,0,0,0,0,,0,0,,,,0,,335527,379869645,1287493948,165110,159260
