ct,earfcn_dl,earfcn_ul,rf_state,band,bandwidth,plmn,tac,cell_id,esm_cause,drx,rsrp,rsrq,rssi,l2w,ri,cqi,status,sub_status,rrc,svc,sinr,tx_pwr,tmsi,ip,avg_rsrp,antbar,imsi,missdn,time_boot_ms,lat,lon,alt,vx,vy,vz,hdg,relative_alt
20220831T042728,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-60,-7,-32,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,24,0,e038356d,27.177.169.226,-60,4,4.50E+14,1227091531,39686,377452515,1273504718,255340,0,0,0,65535,-82
20220831T042730,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-60,-7,-32,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,27.6,-15,e038356d,27.177.169.226,-60,4,4.50E+14,1227091531,42015,377452513,1273504709,255160,0,0,0,65535,-129
20220831T042733,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-60,-7,-32,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,27.6,-25,e038356d,27.177.169.226,-60,4,4.50E+14,1227091531,44013,377452511,1273504701,254970,0,0,0,65535,-180
20220831T042735,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-60,-7,-32,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,27.6,-26,e038356d,27.177.169.226,-60,4,4.50E+14,1227091531,46345,377452510,1273504691,254770,0,0,0,65535,-162
20220831T042737,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-60,-7,-32,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,28.6,-23,e038356d,27.177.169.226,-60,4,4.50E+14,1227091531,48343,377452505,1273504682,254620,0,0,0,65535,-175
20220831T042739,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-65,-7,-39,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,28.6,-28,e038356d,27.177.169.226,-60,4,4.50E+14,1227091531,50673,377452499,1273504678,255950,0,0,0,65535,-159
20220831T042741,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.8,-14,e038356d,27.177.169.226,-60,4,4.50E+14,1227091531,52671,377452495,1273504674,255910,0,0,0,65535,-193
20220831T042743,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.8,-26,e038356d,27.177.169.226,-60,4,4.50E+14,1227091531,54671,377452485,1273504671,255880,0,0,0,65535,-220
20220831T042745,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.4,-25,e038356d,27.177.169.226,-60,4,4.50E+14,1227091531,57000,377452472,1273504667,255880,0,0,0,65535,-227
20220831T042747,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.8,-24,e038356d,27.177.169.226,-60,4,4.50E+14,1227091531,58998,377452462,1273504662,255890,0,0,0,65535,-218
20220831T042750,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.8,-24,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,61331,377452451,1273504660,255840,0,0,0,65535,-262
20220831T042752,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.4,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,63328,377452443,1273504657,255830,0,0,0,65535,-270
20220831T042754,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,25.2,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,65658,377452432,1273504655,255810,0,0,0,65535,-291
20220831T042756,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,26.8,-15,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,67656,377452424,1273504656,255810,0,0,0,65535,-295
